http://library.ucsd.edu/ark:/20775/bb15373666	Point Loma (San Diego, Calif.) -- San Diego (Calif.)	http://library.ucsd.edu/dc/object/bb58373691
http://library.ucsd.edu/ark:/20775/bb9182488k	San Diego (Calif.) -- Balboa Park (San Diego, Calif.)	http://library.ucsd.edu/dc/object/bb41991261
http://library.ucsd.edu/ark:/20775/bb8807058g	Point Loma (San Diego, Calif.) -- San Diego Bay (Calif.)	http://library.ucsd.edu/dc/object/bb4438045c
http://library.ucsd.edu/ark:/20775/bb9182490x	Chula Vista (Calif.) -- San Diego Bay (Calif.)	http://library.ucsd.edu/dc/object/bb65882297
http://library.ucsd.edu/ark:/20775/bb27319181	Del Mar (Calif.) -- Solana Beach (Calif.)	http://library.ucsd.edu/dc/object/bb0171796s
http://library.ucsd.edu/ark:/20775/bb6247307q	Mission Beach (San Diego, Calif.) -- Pacific Beach (San Diego, Calif.)	http://library.ucsd.edu/dc/object/bb8977337b
http://library.ucsd.edu/ark:/20775/bb8499890q	Del Mar (Calif.) -- Torrey Pines State Beach (Calif.)	http://library.ucsd.edu/dc/object/bb24926347
http://library.ucsd.edu/ark:/20775/bb59060082	Point Loma (San Diego, Calif.) -- Coronado (Calif.)	http://library.ucsd.edu/dc/object/bb1707643k
http://library.ucsd.edu/ark:/20775/bb4643198s	San Diego Bay (Calif.) -- Silver Strand State Beach (Calif.)	http://library.ucsd.edu/dc/object/bb7441485h
http://library.ucsd.edu/ark:/20775/bb6861649c	Coronado (Calif.) -- Point Loma (San Diego, Calif.)	http://library.ucsd.edu/dc/object/bb17758989
http://library.ucsd.edu/ark:/20775/bb6213181s	San Diego Bay (Calif.) -- San Diego (Calif.)	http://library.ucsd.edu/dc/object/bb0205922k
http://library.ucsd.edu/ark:/20775/bb58718814	San Diego Bay (Calif.) -- Coronado (Calif.)	http://library.ucsd.edu/dc/object/bb8601902t
http://library.ucsd.edu/ark:/20775/bb88070590	San Diego Bay (Calif.) -- Point Loma (San Diego, Calif.)	http://library.ucsd.edu/dc/object/bb5939762c
http://library.ucsd.edu/ark:/20775/bb0718249c	Mission Bay (San Diego, Calif.) -- Mission Beach (San Diego, Calif.)	http://library.ucsd.edu/dc/object/bb15028714
http://library.ucsd.edu/ark:/20775/bb1298461q	La Jolla (San Diego, Calif.) --	http://library.ucsd.edu/dc/object/bb9898844n
http://library.ucsd.edu/ark:/20775/bb4506678f	Pacific Ocean -- Baja California (Mexico)	http://library.ucsd.edu/dc/object/bb9182116t
http://library.ucsd.edu/ark:/20775/bb6076662d	Coronado (Calif.) -- San Diego Bay (Calif.)	http://library.ucsd.edu/dc/object/bb63493249
